State,Year,Quarter,District,Count,Amount
Jharkhand,2023,2,giridih,18718375,28408986717.0
Jharkhand,2023,2,palamu,18171987,30840862063.0
Jharkhand,2023,2,ramgarh,12806601,17474298562.0
Jharkhand,2023,2,garhwa,10814050,19635730833.0
Jharkhand,2023,2,deoghar,9554315,13565681676.0
Jharkhand,2023,1,ranchi,45763754,61307442040.0
Jharkhand,2023,1,dhanbad,24716624,34527716262.0
Jharkhand,2023,1,bokaro,21453290,27201682861.0
Jharkhand,2023,1,hazaribagh,21228363,33995623801.0
Jharkhand,2023,1,east singhbhum,20695978,27275071566.0
Jharkhand,2023,1,giridih,15163904,24387875902.0
Jharkhand,2023,1,palamu,14108801,25744336745.0
Jharkhand,2023,1,ramgarh,10688070,15324220562.0
Jharkhand,2023,1,garhwa,8515861,16499335691.0
Jharkhand,2023,1,koderma,7645154,13917251391.0
Jharkhand,2019,2,ranchi,3147028,5924687357.225821
Jharkhand,2019,2,dhanbad,1279110,1614589568.704862
Jharkhand,2019,2,bokaro,1020185,1369272123.3242126
Jharkhand,2019,2,east singhbhum,960100,1505995808.3759127
Jharkhand,2019,2,hazaribagh,633673,1332857266.8961062
Jharkhand,2019,2,giridih,447860,872870570.3762811
Jharkhand,2019,2,ramgarh,331688,593592675.6244884
Jharkhand,2019,2,palamu,330327,1046448701.3271729
Jharkhand,2019,2,saraikela kharsawan,328153,412040653.5542741
Jharkhand,2019,2,deoghar,216404,385121235.74762386
Jharkhand,2019,3,ranchi,3924885,6987035689.115903
Jharkhand,2019,3,dhanbad,2290227,1900631592.4346042
Jharkhand,2019,3,bokaro,1738430,1613980827.143254
Jharkhand,2019,3,east singhbhum,1439445,1863746509.1365323
Jharkhand,2019,3,hazaribagh,917999,1501364416.6671972
Jharkhand,2019,3,giridih,498118,876022719.9153262
Jharkhand,2019,3,ramgarh,466086,666327597.117374
Jharkhand,2019,3,saraikela kharsawan,436371,499189494.0970435
Jharkhand,2019,3,palamu,408718,1090919704.3977737
Jharkhand,2019,3,deoghar,344455,555613175.4677337
Jharkhand,2019,4,ranchi,4962725,8766487755.261751
Jharkhand,2019,4,dhanbad,2966376,2559078950.795422
Jharkhand,2019,4,bokaro,2193416,2158045122.491934
Jharkhand,2019,4,east singhbhum,1743320,2454308540.295499
Jharkhand,2019,4,hazaribagh,1115893,1919987793.5106766
Jharkhand,2019,4,giridih,664950,1173756910.3354383
Jharkhand,2019,4,ramgarh,606260,907240261.0972492
Jharkhand,2019,4,palamu,568241,1542916983.3263822
Jharkhand,2019,4,saraikela kharsawan,542522,632386702.9813409
Jharkhand,2019,4,deoghar,411994,652381524.6441478
Jharkhand,2019,1,ranchi,1958897,3112736131.1203365
Jharkhand,2019,1,dhanbad,1390250,1330543703.1307168
Jharkhand,2019,1,bokaro,1074907,1046148508.9114575
Jharkhand,2019,1,east singhbhum,909285,1244357275.145483
Jharkhand,2019,1,hazaribagh,658381,1096533636.5584445
Jharkhand,2019,1,giridih,540524,695057378.0180323
Jharkhand,2019,1,saraikela kharsawan,395831,376316821.2155843
Jharkhand,2019,1,ramgarh,349693,489903880.8153255
Jharkhand,2019,1,palamu,336935,875063883.7575887
Jharkhand,2019,1,koderma,206484,382615731.9092488
Lakshadweep,2018,2,lakshadweep,2132,6187809.539400538
Lakshadweep,2018,3,lakshadweep,1703,4339032.311985849
Lakshadweep,2018,4,lakshadweep,1642,4463213.698222831
Lakshadweep,2018,1,lakshadweep,778,1928611.1808777403
Lakshadweep,2020,2,lakshadweep,7220,16942922.08594439
Lakshadweep,2020,3,lakshadweep,8589,21306833.308656827
Lakshadweep,2020,4,lakshadweep,11650,30111317.917080387
Lakshadweep,2020,1,lakshadweep,5151,13502368.574504208
Lakshadweep,2022,2,lakshadweep,17569,55929601.98990567
Lakshadweep,2022,3,lakshadweep,15241,47580009.61750026
Lakshadweep,2022,4,lakshadweep,17147,54813873.614936255
Lakshadweep,2022,1,lakshadweep,16397,54939432.65393007
Lakshadweep,2021,2,lakshadweep,11384,27383463.65795153
Lakshadweep,2021,3,lakshadweep,13370,38803163.698768154
Lakshadweep,2021,4,lakshadweep,15470,50998185.528381005
Lakshadweep,2021,1,lakshadweep,9085,27042782.914081156
Lakshadweep,2023,2,lakshadweep,34918,97987438.0
Lakshadweep,2023,1,lakshadweep,29520,85321961.0
Lakshadweep,2019,2,lakshadweep,2926,9242524.13698889
Lakshadweep,2019,3,lakshadweep,3104,9651761.46376847
Lakshadweep,2019,4,lakshadweep,3765,11269913.40492385
Lakshadweep,2019,1,lakshadweep,2481,8786130.479338996
Madhya Pradesh,2018,2,bhopal,2101870,3162583722.7483263
Madhya Pradesh,2018,2,indore,1375908,2404399122.9028625
Madhya Pradesh,2018,2,gwalior,489851,768942832.0715543
Madhya Pradesh,2018,2,jabalpur,422639,584301958.944094
Madhya Pradesh,2018,2,sehore,344826,478416852.5884154
Madhya Pradesh,2018,2,rewa,298854,492363779.31866646
Madhya Pradesh,2018,2,ujjain,291630,463505751.4854504
Madhya Pradesh,2018,2,sagar,267894,314107092.19693184
Madhya Pradesh,2018,2,satna,242463,270342008.7411064
Madhya Pradesh,2018,2,dhar,238497,351923712.98836184
Madhya Pradesh,2018,3,bhopal,3157810,4500771533.49004
Madhya Pradesh,2018,3,indore,2082530,3633508421.8101254
Madhya Pradesh,2018,3,sagar,792217,664927054.0421132
Madhya Pradesh,2018,3,sehore,758026,813770551.0306485
Madhya Pradesh,2018,3,gwalior,726317,1161920835.789859
Madhya Pradesh,2018,3,jabalpur,701227,958869249.390048
Madhya Pradesh,2018,3,rewa,566062,685929451.0927081
Madhya Pradesh,2018,3,ujjain,498756,721272323.6353652
Madhya Pradesh,2018,3,narsinghpur,426854,345889819.40697944
Madhya Pradesh,2018,3,dhar,425936,570906796.1316426
Madhya Pradesh,2018,4,bhopal,4226983,6249310700.95542
Madhya Pradesh,2018,4,indore,2826520,5075021922.79704
Madhya Pradesh,2018,4,gwalior,894712,1644666010.3465357
Madhya Pradesh,2018,4,jabalpur,866243,1360238729.0313094
Madhya Pradesh,2018,4,sehore,783146,1051788224.0566217
Madhya Pradesh,2018,4,rewa,588836,933681137.7141752
Madhya Pradesh,2018,4,ujjain,585638,981666410.735889
Madhya Pradesh,2018,4,sagar,573261,742271402.2191862
Madhya Pradesh,2018,4,dhar,536104,820460181.5187452
Madhya Pradesh,2018,4,dewas,501654,821092172.381887
Madhya Pradesh,2018,1,bhopal,1704495,1905473874.8326716
Madhya Pradesh,2018,1,indore,1066784,1455149304.9952686
Madhya Pradesh,2018,1,gwalior,354555,437805408.20386726
Madhya Pradesh,2018,1,jabalpur,294739,336129604.08967173
Madhya Pradesh,2018,1,sehore,262578,253627459.66805387
Madhya Pradesh,2018,1,ujjain,223180,258084907.59517384
Madhya Pradesh,2018,1,sagar,217079,158907811.38195506
Madhya Pradesh,2018,1,rewa,210786,249549304.77768275
Madhya Pradesh,2018,1,dewas,187518,204604018.77963144
Madhya Pradesh,2018,1,dhar,183246,206440756.11008483
Madhya Pradesh,2020,2,bhopal,14074026,27679446324.45678
Madhya Pradesh,2020,2,indore,13320426,28685653051.73161
Madhya Pradesh,2020,2,gwalior,2624767,4775816368.953523
Madhya Pradesh,2020,2,jabalpur,2318052,4127023650.0580335
Madhya Pradesh,2020,2,ujjain,2060273,3502234253.762901
Madhya Pradesh,2020,2,sehore,2007098,3502556848.342663
Madhya Pradesh,2020,2,chhindwara,1950309,3543387312.8824368
Madhya Pradesh,2020,2,dewas,1913320,3316587068.990117
Madhya Pradesh,2020,2,rewa,1877915,3929625254.5108604
Madhya Pradesh,2020,2,dhar,1792207,2906918483.5859733
Madhya Pradesh,2020,3,bhopal,29560361,57525605025.512215
Madhya Pradesh,2020,3,indore,17544816,31851463020.761208
Madhya Pradesh,2020,3,gwalior,3978884,7817520356.40003
